Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100nF,C_01005_0402Metric,144.075,-80.598667,180.0,top
C2,100nF,C_0402_1005Metric,129.405,-105.36,-90.0,top
C3,10uF,C_0402_1005Metric,132.93,-81.2,180.0,top
C4,10uF,C_0402_1005Metric,134.08,-91.892667,180.0,top
D1,D_TVS,D_SOD-523,144.075,-83.7,90.0,top
D2,D_Schottky,D_SOD-523,144.075,-77.498667,-90.0,top
J1,Conn_01x04_Pin,PinHeader_1x04_P2.54mm_Vertical,102.3,-91.778,0.0,top
J2,USB_C_Receptacle,USB-C-SMD_TYPE-C-6PIN-2MD-073,149.375,-80.598667,90.0,top
J3,Conn_01x03_Pin,PinHeader_1x03_P2.54mm_Vertical,102.3,-80.39,0.0,top
J4,Conn_01x02_Pin,PinHeader_1x02_P2.54mm_Vertical,102.3,-121.145,0.0,top
J5,472720001,CONN_47272-0001_MOL,144.44335,-113.9,90.0,top
J6,472720001,CONN_47272-0001_MOL,109.85665,-108.4,-90.0,top
J7,HDMI_A_1.4,HDMI-SMD_HDMI-19PIN-043,146.225,-95.266667,90.0,top
R1,5.1K,R_01005_0402Metric,144.075,-81.848667,0.0,top
R2,5.1K,R_01005_0402Metric,144.075,-79.348974,0.0,top
R3,10K,R_0402_1005Metric,129.405,-94.5,0.0,top
U1,SN65MLVD200ADR,SOIC-8_3.9x4.9mm_P1.27mm,127.5,-100.0,-90.0,top
U2,AMS1117-3.3,SOT-223-3_TabPin2,136.18,-86.432667,-90.0,top
